NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
1127 1063.24 1820.56 0.12 47.13 2.03 3.289764024129927e-17 322.27673934485415 0.1960968817101933 1
1160 1834.85 1875.72 0.18 72.43 2.88 9.106891246084911e-17 322.20912577287265 0.20008819372613143 2
1161 1859.47 1874.87 0.49 -19.9 1.6 2.6499845891223588e-17 322.2069701148807 0.19997964463871948 1
1164 408.06 1878.83 0.53 -26.54 1.95 3.133756462404462e-17 322.33402845715744 0.20154686836995378 1
1166 1475.56 1878.63 0.14 -14.28 1.87 2.5401283285683328e-17 322.24058654758926 0.20078387848422213 1
1171 1462.97 1885.91 0.32 55.59 2.52 4.0976490194194135e-17 322.2416838797107 0.20143323845635655 2
1210 849.47 1957.83 0.04 -18.34 2.11 2.6449482218985584e-17 322.29531288603624 0.20824664862565656 2
1212 976.37 1961.28 0.39 -85.05 3.24 8.244838235380668e-17 322.2842073261466 0.20846001752403023 1
1219 812.81 1974.3 0.54 -55.81 1.6 1.8497776311597524e-17 322.2985015540772 0.20970877844306798 1
1239 1730.88 2020.76 0.4 5.96 1.6 2.2076758912141393e-17 322.2181503758278 0.21287272713028227 1
1240 543.16 2030.78 0.4 23.81 4.98 1.6068026139441808e-16 322.32201471061927 0.21478529942951957 1
1251 1357.5 2050.6 0.52 -22.74 1.78 2.840464913883757e-17 322.2507897529274 0.21591468753758866 2
1299 175.38 361.55 0.58 -60.71 1.78 2.4780274244320013e-17 322.35632705981135 0.06781202163014338 1
1363 495.45 1850.28 0.32 -59.57 2.71 5.1646545770168986e-17 322.3264176625037 0.199019719365397 1
1364 501.23 1853.15 0.09 30.97 2.93 3.55418542341713e-17 322.3259077151888 0.19926881821222164 2
1365 513.76 1861.3 0.61 36.2 8.99 3.43136209146742e-16 322.3248007390729 0.19997682856879562 1
1366 500.68 1893.24 0.23 75.79 3.74 7.700306721761083e-17 322.3259056581942 0.20277638156303243 1
