NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
1227 1047.02 1542.1 0.43 49.06 1.69 6.459682013060535e-13 126.49270384641248 4.291631414014998 1
1255 1798.45 1580.23 0.18 54.82 8.25 5.2989730104175705e-12 126.42646725812197 4.294264129824969 1
1297 597.25 1623.01 0.22 76.67 2.46 7.738745928273927e-13 126.53225124475274 4.299170272429122 1
1304 1493.09 1632.03 0.34 39.85 4.3 2.1235065700676676e-12 126.45331935881785 4.2991108224093555 1
1310 1916.47 1635.11 0.53 58.5 2.19 7.664700534074341e-13 126.41601664840127 4.298975187401219 2
1312 1663.06 1638.06 0.12 67.22 3.99 1.4919831676233516e-12 126.43833884825234 4.299477684536695 1
1334 555.96 1661.08 0.52 24.99 1.69 3.9323317619653084e-13 126.5358528432487 4.302556068465784 2
1342 335.36 1670.27 0.45 14.51 2.59 9.58683815984028e-13 126.55527925174913 4.303572655045034 1
1373 1447.44 1705.09 0.37 -38.26 2.33 7.314509414830739e-13 126.45727101111119 4.305575894304092 1
1407 1870.91 1754.48 0.28 63.01 3.99 1.7631776546641962e-12 126.4199154561272 4.309511713237365 1
1413 117.1 1759.57 0.35 -45.11 4.72 3.2497378836669414e-12 126.57442319980002 4.311628449278098 1
1436 97.92 1795.88 0.17 -24.48 3.24 2.2568727791201945e-12 126.57607860005332 4.314837639236156 1
1442 1947.31 1798.52 0.22 58.43 3.99 2.0562737010144124e-12 126.41314189336279 4.3133098867932445 1
1452 1013.0 1810.76 0.49 -84.56 1.95 1.1635415256234167e-12 126.49544465909834 4.31527937303954 1
1455 1008.3 1809.93 0.27 -14.05 1.87 4.098728938913743e-13 126.49585933847871 4.315210971589062 1
1462 1145.28 1822.54 0.22 -88.68 3.57 1.143538575648122e-12 126.48377879443494 4.316188303520094 1
1473 1203.03 1835.51 0.21 76.03 3.19 1.1406013058759015e-12 126.47867864170077 4.317273826269599 1
1481 1322.78 1844.27 0.55 12.32 1.95 5.816529652354885e-13 126.46812056299359 4.31792917550463 1
1518 1323.77 1891.16 0.31 81.45 2.19 6.592857379269963e-13 126.4679877581847 4.322049790088306 2
1555 433.48 1931.48 0.25 4.5 2.76 1.5086777048786865e-12 126.54638674154842 4.32644045557185 1
1588 1895.77 1975.3 0.29 53.38 2.88 1.3423544315130929e-12 126.41751227227387 4.328897932863162 1
1623 1148.07 2026.65 0.14 -42.58 3.83 1.6297031806077086e-12 126.4833382612931 4.334127149568138 1
1687 1239.11 451.46 0.45 -52.39 1.87 4.2575762964480255e-13 126.47682460734205 4.195579131626136 2
1691 421.47 483.63 0.23 0.3 4.3 2.46891165977587e-12 126.54881871197976 4.19918309044863 1
1712 1717.79 748.2 0.49 59.2 1.95 4.869261145996973e-13 126.43437360016482 4.221204787452368 1
1731 1106.88 1031.98 0.59 72.39 1.95 6.863819216412804e-13 126.48791794908347 4.2467341027440195 2
1733 1176.07 1100.71 0.22 -8.94 6.75 3.1678883587983724e-12 126.481757301921 4.252709223148436 1
1738 1183.34 1220.93 0.59 47.38 1.69 4.667252989691953e-13 126.48100153287673 4.263270160600535 1
1743 535.35 1263.75 0.56 10.81 6.1 3.7062799769780964e-12 126.53804614340758 4.267649261184421 1
1772 652.42 1537.82 0.23 82.91 8.0 5.741211110041202e-12 126.52747227782926 4.291630092579507 1
1774 663.43 1537.5 0.31 -69.57 4.03 1.6896204450162547e-12 126.52650267173271 4.291591326319154 1
1782 607.42 1743.5 0.14 -15.76 6.13 3.724148194509672e-12 126.53124062241783 4.309752160214105 1
